TITOLO,ISSN
900,2036-8836
"ANNALI DEL DIPARTIMENTO DI METODI E MODELLI PER L'ECONOMIA, IL TERRITORIO E LA FINANZA",2385-0825
1989. RIVISTA DI DIRITTO PUBBLICO E SCIENZE POLITICHE,1720-4240
21ST CENTURY SOCIETY,1745-0144
A CONTRARIO,1660-7880
"AAA TAC, ACOUSTICAL ARTS AND ARTIFACTS. TECHNOLOGY, AESTHETICS, COMMUNICATION.",1824-6176
AAM.TAC,1824-6184
ABITARE,0001-3218
ACADEMIA,1125-4203
ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES,2281-3993
ACCADEMIE E BIBLIOTECHE D'ITALIA,0001-4451
ACCENTI,2036-9174
ACER,1828-4434
ACHAB,1971-7946
ACHAB,1971-7954
ACME,0001-494X
"ÁCOMA",1122-6218
ACQUE & TERRE,1825-3679
ACTA ANALYTICA,0353-5150
ACTA HISTRIAE,1318-0185
ACTA NEUROLOGICA,0001-6276
ACTA PEDAGOGICA VILNENSIA,1392-5016
ACTA PHILOSOPHICA,1121-2179
ACTA PHILOSOPHICA,1825-6562
ACTA POLITICA,0001-6810
ACTA SOCIOLOGICA,0001-6993
ACTA SOCIOLÓGICA,0186-6028
ACTA TURCICA,1308-8351
ACTUEL MARX,0994-4524
ACTUEL MARX,1969-6728
"ĀDĀB",0302-8844
ADAPTIVE BEHAVIOR,1059-7123
ADAXE,0213-4705
ADDICTION RESEARCH & THEORY,1606-6359
ADMINISTRACIÓN & CIDADANÍA,1887-0279
ADMINISTRATION & SOCIETY,0095-3997
ADMINISTRATION IN SOCIAL WORK,0364-3107
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392
ADRIATICO / JADRAN,1828-5775
ADULT EDUCATION QUARTERLY,0741-7136
ADULTITÀ,2239-5288
ADVANCES IN APPLIED SOCIOLOGY,2165-4328
ADVANCES IN COMPLEX SYSTEM,0219-5259
ADVANCES IN LIFE COURSE RESEARCH,1569-4909
ADVANCES IN MEDICAL EDUCATION AND PRACTICE,1179-7258
AEDON,1127-1345
AETHIOPICA,1430-1938
AEVUM,0001-9593
AFFARI ESTERI,0001-964X
AFFARI SOCIALI INTERNAZIONALI,0390-1181
AFRICA,0001-9720
AFRICA,0001-9747
AFRICA,1750-0184
AFRICA E MEDITERRANEO,1121-8495
AFRICA TODAY,0001-9887
AFRICA YEARBOOK,1871-2525
AFRICAN AFFAIRS,0001-9909
AFRICAN AFFAIRS,1468-2621
AFRICAN AND ASIAN STUDIES,1569-2094
AFRICAN CONFLICT AND PEACEBUILDING REVIEW,2156-695X
AFRICAN ECONOMIC HISTORY,0145-2258
AFRICAN HISTORICAL REVIEW,1753-2523
AFRICAN SECURITY REVIEW,1024-6029
AFRICAN STUDIES,0002-0184
AFRICANA,1592-9639
AFRICANA BULLETIN,0002-029X
AFRICHE E ORIENTI,1592-6753
AFRIKASPECTRUM,0002-0397
AG-ABOUT GENDER,2279-5057
AGALMA,1723-0284
AGATHOS,2069-1025
AGEING AND SOCIETY,0144-686X
AGEING AND SOCIETY,1469-1779
AGENDA SOCIAL,1981-9862
AGING CLINICAL AND EXPERIMENTAL RESEARCH,1594-0667
AGORA,0211-6642
AGORA,0800-7136
AGORA DÉBATS/JEUNESSE,1268-5666
AGRICULTURAL SCIENCES IN CHINA,1671-2927
AI & SOCIETY,0951-5666
AI COMMUNICATIONS,0921-7126
AIDA INFORMAZIONI,1121-0095
AIDS AND BEHAVIOR,1090-7165
ALBA POMPEIA,0394-9427
ALCOHOLISM,1530-0277
ALCOLOGIA,0394-9826
ALETHEIA,1413-0394
ALETHEIA,1887-0929
ALMATOURISM,2036-5195
ALTERNATIVAS,1133-0473
ALTERNATIVE & INTEGRATIVE MEDICINE,2327-5162
ALTERNATIVES,0304-3754
ALTRE MODERNITÀ,2035-7680
ALTREITALIE,1120-0413
AMBIENTE SOCIETÀ TERRITORIO,1824-114X
AMÉRICA LATINA HOY,1130-2887
AMERICAN BEHAVIORAL SCIENTIST,0002-7642
AMERICAN JOURNAL OF BIOETHICS,1526-5161
AMERICAN JOURNAL OF EPIDEMIOLOGY,0002-9262
AMERICAN JOURNAL OF EVALUATION,1098-2140
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,0894-9115
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,1537-7385
AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853
AMERICAN JOURNAL OF POLITICAL SCIENCE,1540-5907
AMERICAN POLITICAL SCIENCE REVIEW,0003-0554
