SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
10/F2,TRANSACTIONS OF THE AMERICAN PHILOLOGICAL ASSOCIATION,0360-5949,.
10/F2,TRANSACTIONS OF THE AMERICAN PHILOLOGICAL ASSOCIATION,1533-0699,.
10/F2,VOX ROMANICA,0042-899X,.
10/F2,ZEITSCHRIFT FÜR ROMANISCHE PHILOLOGIE,0049-8661,.
10/F3,AEVUM,0001-9593,.
10/F3,ALLEGORIA,1122-1887,.
10/F3,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360,.
10/F3,ANNALI DELLA FONDAZIONE VERGA,2038-2243,.
10/F3,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X,.
10/F3,APPLIED LINGUISTICS,0142-6001,.
10/F3,APPLIED LINGUISTICS,1477-450X,.
10/F3,APPLIED PSYCHOLINGUISTICS,0142-7164,.
10/F3,ARTIFARA,1594-378X,.
10/F3,AUTOGRAFO,1721-5943,.
10/F3,BELFAGOR,0005-8351,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F3,BILINGUALISM,1366-7289,.
10/F3,BOLLETTINO - CENTRO DI STUDI FILOLOGICI E LINGUISTICI SICILIANI,0577-277X,.
10/F3,BOLLETTINO - OPERA DEL VOCABOLARIO ITALIANO,1591-8254,.
10/F3,BOLLETTINO '900,1124-1578,.
10/F3,BOLLETTINO DELL'ATLANTE LINGUISTICO DEGLI ANTICHI VOLGARI ITALIANI,1971-9043,.
10/F3,BOLLETTINO DELL'ATLANTE LINGUISTICO ITALIANO,1122-1836,.
10/F3,BOLLETTINO DI ITALIANISTICA,0168-7298,.
10/F3,BOLLETTINO DI STUDI LATINI,0006-6583,.
10/F3,BRAIN AND LANGUAGE,0093-934X,.
10/F3,CARTE DI VIAGGIO,1974-0557,.
10/F3,CARTE DI VIAGGIO,1974-4889,.
10/F3,CHRONIQUES ITALIENNES,1634-0272,.
10/F3,CLCWEB - COMPARATIVE LITERATURE AND CULTURE,1481-4374,.
10/F3,COGNITIVE LINGUISTICS,0936-5907,.
10/F3,COMPAR(A)ISON,0942-8917,.
10/F3,COMPARATIVE LITERATURE,0010-4124,.
10/F3,COMPARATIVE LITERATURE STUDIES,0010-4132,.
10/F3,COMPARATIVE LITERATURE STUDIES,1528-4212,.
10/F3,COMPUTATIONAL LINGUISTICS,0891-2017,.
10/F3,COMPUTATIONAL LINGUISTICS,1530-9312,.
10/F3,CONTEMPORANEA,1127-3070,.
10/F3,CONTEMPORARY LITERATURE,0010-7484,.
10/F3,CONTEMPORARY LITERATURE,1548-9949,.
10/F3,CRITICA DEL TESTO,1127-1140,.
10/F3,CRITICA LETTERARIA,0390-0142,.
10/F3,CUADERNOS DE FILOLOGÍA ITALIANA,1133-9527,.
10/F3,CUADERNOS DE FILOLOGÍA ITALIANA,1988-2394,.
10/F3,CULTURA NEOLATINA,0391-5654,.
10/F3,"DANTE STUDIES, WITH THE ANNUAL REPORT OF THE DANTE SOCIETY",0070-2862,.
10/F3,DEUTSCHES DANTE - JAHRBUCH,0070-444X,.
10/F3,ECDOTICA,1825-5361,.
10/F3,EIKASMOS,1121-8819,.
10/F3,ESPERIENZE LETTERARIE,0392-3495,.
10/F3,FILOLOGIA E CRITICA,0391-2493,.
10/F3,FILOLOGIA GERMANICA,2036-8992,.
10/F3,FILOLOGIA ITALIANA,1724-6113,.
10/F3,FIRST LANGUAGE,0142-7237,.
10/F3,FORUM ITALICUM,0014-5858,.
10/F3,FORUM ITALICUM,2168-989X,.
10/F3,GIORNALE STORICO DELLA LETTERATURA ITALIANA,0017-0496,.
10/F3,HELIOTROPIA,1542-3352,.
10/F3,I QUADERNI DELL'INGEGNERE,1720-5328,.
10/F3,IL LETTORE DI PROVINCIA,0024-1350,.
10/F3,IL NOME NEL TESTO,1591-7622,.
10/F3,IL NOME NEL TESTO,2282-5649,.
10/F3,IL VERRI,0506-7715,.
10/F3,INTERPRES,0392-0224,.
10/F3,INTERSEZIONI,0393-2451,.
10/F3,ITALIA MEDIOEVALE E UMANISTICA,0391-7495,.
10/F3,ITALIAN POETRY REVIEW,1557-5012,.
10/F3,ITALIAN POETRY REVIEW,2035-4657,.
10/F3,ITALIAN QUARTERLY,0021-2954,.
10/F3,ITALIAN STUDIES,0075-1634,.
10/F3,ITALIAN STUDIES,1748-6181,.
10/F3,ITALIANISTICA,0391-3368,.
10/F3,ITALIANO LINGUADUE,2037-3597,.
10/F3,ITALICA,0021-3020,.
10/F3,ITALICA,2325-6672,.
10/F3,ITALIENISCH,0171-4996,.
10/F3,ITALIES,1275-7519,.
10/F3,ITALIES,2108-6540,.
10/F3,ITALIQUE,1423-3983,.
10/F3,JOURNAL OF CHILD LANGUAGE,0305-0009,.
10/F3,JOURNAL OF LITERARY SEMANTICS,0341-7638,.
10/F3,JOURNAL OF MEMORY AND LANGUAGE,0749-596X,.
10/F3,JOURNAL OF NEUROLINGUISTICS,0911-6044,.
10/F3,JOURNAL OF PHONETICS,0095-4470,.
10/F3,JOURNAL OF SECOND LANGUAGE WRITING,1060-3743,.
10/F3,JOURNAL OF SEMANTICS,0167-5133,.
10/F3,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1092-4388,.
10/F3,L’ ELLISSE,1826-0187,.
10/F3,LA BIBLIOFILIA,0006-0941,.
10/F3,LA CULTURA,0393-1560,.
10/F3,LA LINGUA ITALIANA,1724-9074,.
10/F3,"LA LINGUA ITALIANA: STORIA, STRUTTURA, TESTI: RIVISTA INTERNAZIONALE",1826-8080,.
10/F3,LA MODERNITÀ LETTERARIA,1972-7682,.
10/F3,LA PAROLA DEL TESTO,1125-6486,.
10/F3,LA RASSEGNA DELLA LETTERATURA ITALIANA,0033-9423,.
10/F3,L'ALIGHIERI,0516-6551,.
10/F3,L'ALIGHIERI,1724-0433,.
10/F3,LANGUAGE,0097-8507,.
10/F3,LANGUAGE,1535-0665,.
10/F3,LANGUAGE ACQUISITION,1048-9223,.
10/F3,LANGUAGE AND COGNITIVE PROCESSES,0169-0965,.
10/F3,LANGUAGE AND LITERATURE,0963-9470,.
10/F3,LANGUAGE AND LITERATURE,1461-7293,.
10/F3,LANGUAGE AND SPEECH,0023-8309,.
10/F3,LANGUAGE IN SOCIETY,0047-4045,.
10/F3,LANGUAGE LEARNING,0023-8333,.
10/F3,LANGUAGE LEARNING,1467-9922,.
10/F3,LANGUAGE LEARNING & TECHNOLOGY,1094-3501,.
10/F3,LANGUAGE TEACHING,0261-4448,.
10/F3,LANGUAGE VARIATION AND CHANGE,0954-3945,.
10/F3,LE FORME E LA STORIA,1121-2276,.
10/F3,LETTERATURA & ARTE,1724-613X,.
10/F3,LETTERATURA E DIALETTI,1974-868X,.
10/F3,LETTERE ITALIANE,0024-1334,.
10/F3,L'IMMAGINE RIFLESSA,0391-2973,.
10/F3,LINGUA E STILE,0024-385X,.
10/F3,LINGUA NOSTRA,0024-3868,.
10/F3,LINGUISTIC INQUIRY,0024-3892,.
10/F3,LINGUISTICA E LETTERATURA,0392-6915,.
10/F3,L'ITALIA DIALETTALE,0085-2295,.
10/F3,MEDIOEVO E RINASCIMENTO,0394-7858,.
10/F3,MEDIOEVO LETTERARIO D'ITALIA,1724-9090,.
10/F3,MEDIOEVO ROMANZO,0390-0711,.
10/F3,METAPHOR AND SYMBOL,1092-6488,.
10/F3,METAPHOR AND SYMBOL,1532-7868,.
10/F3,MIND & LANGUAGE,0268-1064,.
10/F3,"MLN, MODERN LANGUAGE NOTES",0026-7910,.
10/F3,"MLN, MODERN LANGUAGE NOTES",1080-6598,.
10/F3,MODERN LANGUAGE QUARTERLY,0026-7929,.
10/F3,MODERN LANGUAGE REVIEW,0026-7937,.
10/F3,MODERNA,1128-6326,.
10/F3,NATURAL LANGUAGE & LINGUISTIC THEORY,0167-806X,.
10/F3,NEOPHILOLOGUS,0028-2677,.
10/F3,NEOPHILOLOGUS,1572-8668,.
10/F3,NEUPHILOLOGISCHE MITTEILUNGEN,0028-3754,.
10/F3,NINETEENTH-CENTURY LITERATURE,0891-9356,.
10/F3,NINETEENTH-CENTURY LITERATURE,1067-8352,.
10/F3,NUOVA CORRENTE,0029-6155,.
10/F3,NUOVA RIVISTA DI LETTERATURA ITALIANA,1590-7929,.
10/F3,OTTO-NOVECENTO,0391-2639,.
10/F3,PARAGONE,0031-1650,.
10/F3,PARAGONE. LETTERATURA,1120-4745,.
10/F3,PAROLECHIAVE,1122-5300,.
10/F3,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,0030-8129,.
10/F3,POETICS,0304-422X,.
10/F3,PROSPETTIVA,0394-0802,.
10/F3,QUADERNI DI ITALIANISTICA,2293-7382,.
10/F3,QUADERNI DI SEMANTICA,0393-1226,.
10/F3,QUADERNI D'ITALIANISTICA,0226-8043,.
10/F3,QUADERNS D’ITALIÀ,2014-8828,.
10/F3,QUADERNS D'ITALIÀ,1135-9730,.
10/F3,RASSEGNA EUROPEA DI LETTERATURA ITALIANA,1122-5580,.
10/F3,RECALL,0958-3440,.
10/F3,RENAISSANCE QUARTERLY,0034-4338,.
10/F3,RENAISSANCE STUDIES,0269-1213,.
10/F3,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,0835-1813,.
10/F3,REVUE DE LANGUES ROMANES,2391-114X,.
10/F3,REVUE DE LINGUISTIQUE ROMANE,0035-1458,.
10/F3,REVUE DES ÉTUDES ITALIENNES,0035-2047,.
10/F3,REVUE DES LANGUES ROMANES,0223-3711,.
10/F3,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1386-1204,.
10/F3,REVUE FRANÇAISE DE LINGUISTIQUE APPLIQUÉE,1875-368X,.
10/F3,REVUE ROMANE,0035-3906,.
10/F3,REVUE ROMANE,1600-0811,.
10/F3,RINASCIMENTO,0080-3073,.
10/F3,RIVISTA DI LETTERATURA ITALIANA,0392-825X,.
10/F3,RIVISTA DI STORIA DELLA CHIESA IN ITALIA,0035-6557,.
10/F3,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
10/F3,RIVISTA DI STUDI DANTESCHI,1594-1000,.
10/F3,RIVISTA DI STUDI TESTUALI,1593-7259,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F3,ROMANCE PHILOLOGY,0035-8002,.
10/F3,ROMANCE PHILOLOGY,2295-9017,.
10/F3,ROMANIA,0035-8029,.
10/F3,ROMANIC REVIEW,0035-8118,.
10/F3,ROMANISCHE FORSCHUNGEN,0035-8126,.
10/F3,ROMANISCHE FORSCHUNGEN,1864-0737,.
10/F3,RR. ROMA NEL RINASCIMENTO,2036-2463,.
10/F3,RUSSICA ROMANA,1128-6377,.
10/F3,SCHEDE UMANISTICHE,1122-6323,.
10/F3,SCHEDE UMANISTICHE,1825-9596,.
10/F3,SCRIPTORIUM,0036-9772,.
10/F3,SEMICERCHIO,1123-4075,.
10/F3,SEMIOTICA,0037-1998,.
10/F3,SEMIOTICA,1613-3692,.
10/F3,SINESTESIE,1593-4276,.
10/F3,SPECULUM,0038-7134,.
10/F3,STILISTICA E METRICA ITALIANA,1591-6693,.
10/F3,STRUMENTI CRITICI,0039-2618,.
10/F3,STUDI DANTESCHI,0391-7835,.
10/F3,STUDI DI FILOLOGIA ITALIANA,0392-5110,.
10/F3,STUDI DI GRAMMATICA ITALIANA,0391-4151,.
10/F3,STUDI DI LESSICOGRAFIA ITALIANA,0392-5218,.
10/F3,STUDI E PROBLEMI DI CRITICA TESTUALE,0049-2361,.
10/F3,STUDI FRANCESI,0039-2944,.
10/F3,STUDI ITALIANI DI LINGUISTICA TEORICA E APPLICATA,0390-6809,.
10/F3,STUDI LINGUISTICI ITALIANI,0394-3569,.
10/F3,STUDI MEDIEVALI E UMANISTICI,2035-3774,.
10/F3,STUDI NOVECENTESCHI,0303-4615,.
10/F3,STUDI PETRARCHESCHI,1128-2045,.
10/F3,STUDI SECENTESCHI,0081-6248,.
10/F3,STUDI SUL BOCCACCIO,0585-4997,.
10/F3,STUDIA NEOPHILOLOGICA,0039-3274,.
10/F3,STUDIA NEOPHILOLOGICA,1651-2308,.
10/F3,STUDIES IN ROMANTICISM,0039-3762,.
10/F3,STUDIES IN SECOND LANGUAGE ACQUISITION,0272-2631,.
10/F3,TESTI E LINGUAGGI,1974-2886,.
10/F3,TESTO,1123-4660,.
10/F3,TESTO A FRONTE,1128-238X,.
10/F3,TEXTUAL CULTURES,1559-2936,.
10/F3,THE ITALIANIST,0261-4340,.
10/F3,THE ITALIANIST,1748-619X,.
10/F3,THE MODERN LANGUAGE REVIEW,2222-4319,.
10/F3,THEORETICAL LINGUISTICS,0301-4428,.
10/F3,TIPOFILOLOGIA,1971-9086,.
10/F3,TIPOFILOLOGIA,2035-3065,.
10/F3,TRANSACTIONS OF THE AMERICAN PHILOLOGICAL ASSOCIATION,0360-5949,.
10/F3,TRANSACTIONS OF THE AMERICAN PHILOLOGICAL ASSOCIATION,1533-0699,.
10/F3,VOX ROMANICA,0042-899X,.
10/F3,ZEITSCHRIFT FÜR ROMANISCHE PHILOLOGIE,0049-8661,.
10/F4,ACME,0001-494X,.
10/F4,ACTA FABULA,2115-8037,.
10/F4,ADAPTATION: THE JOURNAL OF LITERATURE ON SCREEN STUDIES,1755-0637,.
10/F4,AEVUM,0001-9593,.
10/F4,ALLEGORIA,1122-1887,.
10/F4,ANNALI DELLA FONDAZIONE VERGA,2038-2243,.
10/F4,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X,.
10/F4,ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. SEZIONE ROMANZA,0547-2121,.
10/F4,ANNALI DI CA' FOSCARI,1125-3762,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F4,ANNALI D'ITALIANISTICA,0741-7527,.
10/F4,ANTICOMODERNO,1125-3800,.
10/F4,ARCADIA,0003-7982,.
10/F4,AUT AUT,0005-0601,.
10/F4,AUTOGRAFO,1721-5943,.
10/F4,BELFAGOR,0005-8351,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F4,BETWEEN,2039-6597,.
10/F4,BOLLETTINO '900,1124-1578,.
10/F4,BOLLETTINO '900,1126-7003,.
10/F4,BOUNDARY 2,0190-3659,.
10/F4,BOUNDARY 2,1527-2141,.
10/F4,CAHIERS D'ÉTUDES ITALIENNES,1770-9571,.
10/F4,CAHIERS D'ÉTUDES ITALIENNES,2260-779X,.
10/F4,CHRONIQUES ITALIENNES,1634-0272,.
10/F4,COMMUNICATIONS,0588-8018,.
10/F4,COMPAR(A)ISON,0942-8917,.
10/F4,COMPARATIVE CRITICAL STUDIES,1744-1854,.
10/F4,COMPARATIVE LITERATURE,0010-4124,.
10/F4,CONTEMPORANEA,1127-3070,.
10/F4,CONTEMPORANEA,1724-6105,.
10/F4,COSMO,2281-6658,.
10/F4,CRITICA DEL TESTO,1127-1140,.
10/F4,CRITICA LETTERARIA,0390-0142,.
10/F4,CRITICAL INQUIRY,0093-1896,.
10/F4,CRITIQUE,0011-1600,.
10/F4,CRITIQUE,0011-1619,.
10/F4,CROCEVIA,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F4,CUADERNOS DE FILOLOGÍA ITALIANA,1133-9527,.
10/F4,CUADERNOS DE FILOLOGÍA ITALIANA,1988-2394,.
10/F4,CULTURA NEOLATINA,0391-5654,.
10/F4,CULTURA TEDESCA,1720-514X,.
10/F4,CULTURE TEATRALI,1825-8220,.
10/F4,"DANTE STUDIES, WITH THE ANNUAL REPORT OF THE DANTE SOCIETY",0070-2862,.
10/F4,DEUTSCHES DANTE - JAHRBUCH,0070-444X,.
10/F4,DIACRITICS,0300-7162,.
10/F4,DIGITAL HUMANITIES QUARTERLY,1938-4122,.
10/F4,DIGITAL SCHOLARSHIP IN THE HUMANITIES,2055-7671,.
10/F4,DIONISO,1824-0240,.
10/F4,ECDOTICA,1825-5361,.
10/F4,ENTHYMEMA,2037-2426,.
10/F4,ERMENEUTICA LETTERARIA,1825-6619,.
10/F4,ERMENEUTICA LETTERARIA,1827-8957,.
10/F4,ESPERIENZE LETTERARIE,0392-3495,.
10/F4,EUROPE,0014-2751,.
10/F4,EUROPEAN REVIEW,1062-7987,.
10/F4,FICTIONS,1721-3673,.
10/F4,FILOLOGIA E CRITICA,0391-2493,.
10/F4,FILOLOGIA ITALIANA,1724-6113,.
10/F4,FORUM FOR MODERN LANGUAGE STUDIES,0015-8518,.
10/F4,FORUM FOR MODERN LANGUAGE STUDIES,1471-6860,.
10/F4,FORUM ITALICUM,0014-5858,.
10/F4,FORUM ITALICUM,2168-989X,.
10/F4,GENESIS,1526-954X,.
10/F4,GENESIS,1594-9281,.
10/F4,GERMANISCH-ROMANISCHE MONATSSCHRIFT,0016-8904,.
10/F4,GIORNALE STORICO DELLA LETTERATURA ITALIANA,0017-0496,.
10/F4,GRISELDAONLINE,1721-4777,.
10/F4,HELIOTROPIA,1542-3352,.
10/F4,HORIZONTE,1430-3922,.
10/F4,HUMANISTICA,1828-2334,.
10/F4,I QUADERNI DELL'INGEGNERE,1720-5328,.
10/F4,IL CONFRONTO LETTERARIO,0394-994X,.
10/F4,IL LETTORE DI PROVINCIA,0024-1350,.
10/F4,IL MULINO,0027-3120,.
10/F4,IL VELTRO,0042-3254,.
10/F4,IL VERRI,0506-7715,.
10/F4,IMAGE & NARRATIVE,1780-678X,.
10/F4,IMPOSSIBILIA,2174-2464,.
10/F4,INTERFÉRENCES LITTÉRAIRES,2031-2970,.
10/F4,INTERPRES,0392-0224,.
10/F4,INTERSEZIONI,0393-2451,.
10/F4,INVERBIS,2279-8978,.
10/F4,IRIDE,1122-7893,.
10/F4,ITALIAN AMERICANA,0096-8846,.
10/F4,ITALIAN POETRY REVIEW,1557-5012,.
10/F4,ITALIAN POETRY REVIEW,2035-4657,.
10/F4,ITALIAN QUARTERLY,0021-2954,.
10/F4,ITALIAN STUDIES,0075-1634,.
10/F4,ITALIAN STUDIES,1748-6181,.
10/F4,ITALIANISTICA,0391-3368,.
10/F4,ITALICA,0021-3020,.
10/F4,ITALICA,2325-6672,.
10/F4,ITALIENISCH,0171-4996,.
10/F4,ITALIES,1275-7519,.
10/F4,ITALIES,2108-6540,.
10/F4,ITALIQUE,1423-3983,.
10/F4,JOURNAL OF MODERN ITALIAN STUDIES,1354-571X,.
10/F4,JOURNAL OF THE TEXT ENCODING INITIATIVE,2162-5603,.
10/F4,KAMEN',.,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F4,L’ ELLISSE,1826-0187,.
10/F4,LA BIBLIOFILIA,0006-0941,.
10/F4,LA CULTURA,0393-1560,.
10/F4,LA MODERNITÀ LETTERARIA,1972-7682,.
10/F4,LA PAROLA DEL TESTO,1125-6486,.
10/F4,LA RASSEGNA DELLA LETTERATURA ITALIANA,0033-9423,.
10/F4,L'ALIGHIERI,0516-6551,.
10/F4,L'ALIGHIERI,1724-0433,.
10/F4,LE FORME E LA STORIA,1121-2276,.
10/F4,LES CAHIERS NATURALISTES,0008-0365,.
10/F4,LETTERATURA & ARTE,1724-613X,.
10/F4,LETTERATURA E DIALETTI,1974-868X,.
10/F4,LETTERATURA E LETTERATURE,1971-906X,.
10/F4,LETTERATURE D'AMERICA,1125-1743,.
10/F4,LETTERE ITALIANE,0024-1334,.
10/F4,LHT,2100-0689,.
10/F4,LILI. ZEITSCHRIFT FUER LITERATURWISSENSCHAFT UND LINGUISTIK,0049-8653,.
10/F4,L'IMMAGINE RIFLESSA,0391-2973,.
10/F4,LINGUA E STILE,0024-385X,.
10/F4,LINGUAE &,1724-8698,.
10/F4,LINGUE E LINGUAGGI,2239-0359,.
10/F4,LINGUE E LINGUAGGI,2239-0367,.
10/F4,LINGUISTICA E LETTERATURA,0392-6915,.
10/F4,LITTERATURE,0047-4800,.
10/F4,L'ULISSE,1973-2740,.
10/F4,MEDIOEVO E RINASCIMENTO,0394-7858,.
10/F4,MEDIOEVO LETTERARIO D'ITALIA,1724-9090,.
10/F4,MEDIOEVO ROMANZO,0390-0711,.
10/F4,MFS - MODERN FICTION STUDIES,0026-7724,.
10/F4,MISURE CRITICHE,0392-6397,.
10/F4,"MLN, MODERN LANGUAGE NOTES",0026-7910,.
10/F4,MODERN LANGUAGE QUARTERLY,0026-7929,.
10/F4,MODERN LANGUAGE REVIEW,0026-7937,.
10/F4,MODERNA,1128-6326,.
10/F4,MODERNISM/MODERNITY,1071-6068,.
10/F4,NARRATIVA,1166-3243,.
10/F4,NARRATIVE,1063-3685,.
10/F4,NEUPHILOLOGISCHE MITTEILUNGEN,0028-3754,.
10/F4,NEW LEFT REVIEW,0028-6060,.
10/F4,NEW LITERARY HISTORY,0028-6087,.
10/F4,NORTH WEST PASSAGE,1826-641X,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F4,NOVEL,0029-5132,.
10/F4,NUOVA ANTOLOGIA,0029-6147,.
10/F4,NUOVA CORRENTE,0029-6155,.
10/F4,NUOVA RIVISTA DI LETTERATURA ITALIANA,1590-7929,.
10/F4,OTTO-NOVECENTO,0391-2639,.
10/F4,PARAGONE. LETTERATURA,1120-4745,.
10/F4,PAROLE RUBATE. RIVISTA INTERNAZIONALE DI STUDI SULLA CITAZIONE,2039-0114,.
10/F4,PAROLECHIAVE,1122-5300,.
10/F4,PARTIAL ANSWERS,1565-3668,.
10/F4,PER LEGGERE,1591-4861,.
10/F4,PER LEGGERE,2279-7513,.
10/F4,PHILOSOPHY AND LITERATURE,0190-0013,.
10/F4,PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA,0030-8129,.
10/F4,PO&SIE,0152-0032,.
10/F4,POETICA,0303-4178,.
10/F4,POETICS TODAY,0333-5372,.
10/F4,POÉTIQUE,1245-1274,.
10/F4,POLI-FEMO,2037-6847,.
10/F4,QUADERNI DI ITALIANISTICA,2293-7382,.
10/F4,QUADERNI D'ITALIANISTICA,0226-8043,.
10/F4,QUADERNS D’ITALIÀ,2014-8828,.
10/F4,QUADERNS D'ITALIÀ,1135-9730,.
10/F4,RASSEGNA EUROPEA DI LETTERATURA ITALIANA,1122-5580,.
10/F4,RASSEGNA IBERISTICA,0392-4777,.
10/F4,RECHERCHES ET TRAVAUX,0151-1874,.
10/F4,RENAISSANCE QUARTERLY,0034-4338,.
10/F4,RENAISSANCE QUARTERLY,1935-0236,.
10/F4,RENAISSANCE STUDIES,0269-1213,.
10/F4,REPRESENTATIONS,0734-6018,.
10/F4,REVISTA DE OCCIDENTE,0034-8635,.
10/F4,REVUE DE LANGUES ROMANES,2391-114X,.
10/F4,REVUE DE LINGUISTIQUE ROMANE,0035-1458,.
10/F4,REVUE DE LITTÉRATURE COMPARÉE,1965-0264,.
10/F4,REVUE DES ÉTUDES ITALIENNES,0035-2047,.
10/F4,REVUE DES LANGUES ROMANES,0223-3711,.
10/F4,RINASCIMENTO,0080-3073,.
10/F4,RIVISTA DI ESTETICA,0035-6212,.
10/F4,RIVISTA DI LETTERATURA ITALIANA,0392-825X,.
10/F4,RIVISTA DI LETTERATURA ITALIANA,1724-0638,.
10/F4,RIVISTA DI LETTERATURA TEATRALE,1973-7602,.
10/F4,RIVISTA DI LETTERATURA TEATRALE,2035-3553,.
10/F4,RIVISTA DI LETTERATURE MODERNE E COMPARATE,0391-2108,.
10/F4,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
10/F4,RIVISTA DI STUDI DANTESCHI,1594-1000,.
10/F4,RIVISTA DI STUDI TESTUALI,1593-7259,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/F4,RIVISTA PASCOLIANA,1120-8856,.
10/F4,ROMANCE PHILOLOGY,0035-8002,.
10/F4,ROMANCE PHILOLOGY,2295-9017,.
10/F4,ROMANIA,0035-8029,.
10/F4,ROMANIC REVIEW,0035-8118,.
10/F4,ROMANISCHE FORSCHUNGEN,0035-8126,.
10/F4,ROMANISCHE FORSCHUNGEN,1864-0737,.
10/F4,ROMANISTISCHE ZEITSCHRIFT FUR LITERATURGESCHICHTE,0343-379X,.
10/F4,ROMANTISME,0048-8593,.
10/F4,SCRITTURE MIGRANTI,2037-5042,.
10/F4,SEICENTO E SETTECENTO,1828-2148,.
10/F4,SEICENTO E SETTECENTO,1971-8330,.
10/F4,SEMICERCHIO,1123-4075,.
10/F4,SINESTESIE,1593-4276,.
10/F4,SINESTESIE,1721-3509,.
10/F4,SPECULUM,0038-7134,.
10/F4,STILISTICA E METRICA ITALIANA,1591-6693,.
10/F4,STRUMENTI CRITICI,0039-2618,.
10/F4,STUDI COMPARATISTICI,1974-157X,.
10/F4,STUDI CULTURALI,1824-369X,.
10/F4,STUDI DANTESCHI,0391-7835,.
10/F4,STUDI DI ESTETICA,0585-4733,.
10/F4,STUDI E PROBLEMI DI CRITICA TESTUALE,0049-2361,.
10/F4,STUDI FRANCESI,0039-2944,.
10/F4,STUDI GERMANICI,0039-2952,.
10/F4,STUDI ITALIANI,1121-0621,.
10/F4,STUDI LINGUISTICI ITALIANI,0394-3569,.
10/F4,STUDI MEDIEVALI E MODERNI,1593-0947,.
10/F4,STUDI MEDIEVALI E UMANISTICI,2035-3774,.
10/F4,STUDI NOVECENTESCHI,0303-4615,.
10/F4,STUDI PETRARCHESCHI,1128-2045,.
10/F4,STUDI SECENTESCHI,0081-6248,.
10/F4,STUDI SUL BOCCACCIO,0585-4997,.
10/F4,STUDI SUL SETTECENTO E L'OTTOCENTO. RIVISTA INTERNAZIONALE DI ITALIANISTICA,1828-2156,.
10/F4,STUDI SUL SETTECENTO E L'OTTOCENTO. RIVISTA INTERNAZIONALE DI ITALIANISTICA,1970-2213,.
10/F4,STUDIA NEOPHILOLOGICA,0039-3274,.
10/F4,STUDIA NEOPHILOLOGICA,1651-2308,.
10/F4,STUDIES IN THE NOVEL,0039-3827,.
10/F4,STUDIUM,0039-4130,.
10/F4,SYMBOLON,1126-0173,.
10/F4,TALLER DE LETRAS,0716-0798,.
10/F4,TESTI E LINGUAGGI,1974-2886,.
10/F4,TESTO,1123-4660,.
10/F4,TESTO & SENSO,2036-2293,.
10/F4,TESTO A FRONTE,1128-238X,.
10/F4,TEXTUAL CULTURES,1559-2936,.
10/F4,TEXTUAL PRACTICE,0950-236X,.
10/F4,TEXTUS,1824-3967,.
10/F4,THE ITALIANIST,0261-4340,.
10/F4,THE ITALIANIST,1748-619X,.
10/F4,THE MODERN LANGUAGE REVIEW,2222-4319,.
10/F4,THE SOUTH ATLANTIC QUARTERLY,0038-2876,.
10/F4,TRANSLATION REVIEW,0737-4836,.
10/F4,VOX ROMANICA,0042-899X,.
10/F4,WEIMARER BEITRAEGE,0043-2199,.
10/F4,WORD & IMAGE,0266-6286,.
10/F4,ZEITSCHRIFT FÜR ROMANISCHE PHILOLOGIE,0049-8661,.
10/G1,ACME,0001-494X,.
10/G1,ACTA LINGUISTICA HUNGARICA,1216-8076,.
10/G1,AETHIOPICA,1430-1938,.
10/G1,AILE. ACQUISITION ET INTERACTION EN LANGUE ÉTRANGÈRE,1243-969X,.
10/G1,AION. ANNALI DEL DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO. SEZIONE LINGUISTICA,1125-0240,.
10/G1,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1058-0360,.
