TITOLO,ISSN,VERSIONE,13/A1,13/A2,13/A3,13/A4,13/A5,13/B1,13/B2,13/B3,13/B4,13/B5,13/C1,13/D1,13/D2,13/D3,13/D4
CORPORATE SOCIAL-RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,1535-3966,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
CRITICAL PERSPECTIVES ON ACCOUNTING,1095-9955,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
CRITICAL PERSPECTIVES ON ACCOUNTING,1045-2354,print,A,A,A,A,A,A,A,A,A,A,A,,,,
CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,1040-8398,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
CURRENT ISSUES IN TOURISM,1368-3500,print,,,,,,A,A,A,A,A,A,,,,
CURRENT PHARMACEUTICAL DESIGN,1381-6128,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DATA & KNOWLEDGE ENGINEERING,0169-023X,print,,,,,,,,,,,,A,A,A,A
DATA MINING AND KNOWLEDGE DISCOVERY,1573-756X,on-line,,,,,,A,A,A,A,A,,A,A,A,A
DATA MINING AND KNOWLEDGE DISCOVERY,1384-5810,print,,,,,,A,A,A,A,A,,A,A,A,A
DECISION SCIENCES,1540-5915,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
DECISION SCIENCES,0011-7315,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
DECISION SUPPORT SYSTEMS,0167-9236,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
DECISIONS IN ECONOMICS AND FINANCE,1593-8883,print,,,,,,,,,,,,,,,A
DECISIONS IN ECONOMICS AND FINANCE,1129-6569,on-line,,,,,,,,,,,,,,,A
DEMOGRAPHIC RESEARCH,1435-9871,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,(a)
DEMOGRAPHY,1533-7790,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
DEMOGRAPHY,0070-3370,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
DEVELOPMENT AND CHANGE,1467-7660,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
DEVELOPMENT AND CHANGE,0012-155X,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
DEVELOPMENT POLICY REVIEW,0950-6764,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
DIABETES,0012-1797,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DIABETES CARE,0149-5992,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DIABETOLOGIA,0012-186X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS,1078-0947,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DOMESTIC ANIMAL ENDOCRINOLOGY,0739-7240,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DRUG DISCOVERY TODAY,1359-6446,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
DYNAMIC GAMES AND APPLICATIONS,2153-0793,on-line,,,,,,,,,,,,A,A,A,A
DYNAMIC GAMES AND APPLICATIONS,2153-0785,print,,,,,,,,,,,,A,A,A,A
ECOLOGICAL ECONOMICS,0921-8009,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECOLOGICAL INDICATORS,1470-160X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECOLOGICAL MODELLING,0304-3800,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ECONOMETRIC REVIEWS,1532-4168,on-line,A,A,A,A,A,,,,,,A,A,A,A,
ECONOMETRIC REVIEWS,0747-4938,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,A,A,A,(a)
ECONOMETRIC THEORY,1469-4360,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMETRIC THEORY,0266-4666,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMETRICA,1468-0262,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMETRICA,0012-9682,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMETRICS JOURNAL,1368-4221,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIA POLITICA,1120-2890,print,A,A,A,A,A,,,,,,A,,,,
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,1539-2988,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
ECONOMIC DEVELOPMENT AND CULTURAL CHANGE,0013-0079,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
ECONOMIC GEOGRAPHY,0013-0095,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC GEOLOGY,0013-0109,print,,,,,,,,,,,,A,A,A,
ECONOMIC HISTORY REVIEW,0013-0117,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC INQUIRY,1465-7295,on-line,A,A,A,A,A,,,,,,A,,,,
ECONOMIC INQUIRY,0095-2583,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
ECONOMIC JOURNAL,1468-0297,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC JOURNAL,0013-0133,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC MODELLING,1873-6122,on-line,A,A,A,A,A,,,,,,A,A,A,A,
ECONOMIC MODELLING,0264-9993,print,A,A,A,A,A,,,,,,A,A,A,A,
ECONOMIC POLICY,1468-0327,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC POLICY,0266-4658,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC SYSTEMS RESEARCH,1469-5758,on-line,A,A,A,A,A,,,,,,A,,,,
ECONOMIC SYSTEMS RESEARCH,0953-5314,print,A,A,A,A,A,,,,,,A,,,,
ECONOMIC THEORY,1432-0479,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMIC THEORY,0938-2259,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICA,1468-0335,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICA,0013-0427,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICS & POLITICS,0954-1985,print,A,A,A,A,A,,,,,,A,,,,
ECONOMICS AND HUMAN BIOLOGY,1570-677X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
ECONOMICS AND PHILOSOPHY,1474-0028,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICS AND PHILOSOPHY,0266-2671,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICS AND POLITICS,1468-0343,on-line,A,A,A,A,A,,,,,,A,,,,
ECONOMICS LETTERS,1873-7374,on-line,A,A,A,A,A,,,,,,A,,,,
ECONOMICS LETTERS,0165-1765,print,A,A,A,A,A,,,,,,A,,,,
ECONOMICS OF EDUCATION REVIEW,0272-7757,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICS OF GOVERNANCE,1435-8131,on-line,A,A,A,A,A,,,,,,A,,,,
ECONOMICS OF GOVERNANCE,1435-6104,print,A,A,A,A,A,,,,,,A,,,,
ECONOMICS OF INNOVATION & NEW TECHNOLOGY,1476-8364,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,1043-8599,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ECONOMICS OF TRANSPORTATION,2212-0122,print,A,A,A,A,A,,,,,,A,,,,
ECONOMY AND SOCIETY,1469-5766,on-line,A,A,A,A,A,,,,,,A,,,,
ECONOMY AND SOCIETY,0308-5147,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
EDUCATIONAL ADMINISTRATION QUARTERLY,0013-161X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,0013-1644,print,,,,,,,,,,,,A,A,A,
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,0162-3737,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
EDUCATIONAL STUDIES,0305-5698,.,,,,,,,,,,,,(a),(a),(a),(a)
ELECTORAL STUDIES,0261-3794,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
ELECTRONIC COMMERCE RESEARCH,1389-5753,print,,,,,,A,A,A,A,A,,,,,
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,1567-4223,print,,,,,,A,A,A,A,A,A,,,,
ELECTRONIC COMMUNICATIONS IN PROBABILITY,1083-589X,print,,,,,,,,,,,,A,A,A,A
ELECTRONIC JOURNAL OF PROBABILITY,1083-6489,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,A
ELECTRONIC JOURNAL OF STATISTICS,1935-7524,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,A
EMERGING MARKETS REVIEW,1566-0141,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENDOCRINOLOGY,0013-7227,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ENDOSCOPY,0013-726X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ENERGY AND BUILDINGS,0378-7788,.,,,,,,,,,,,,(a),(a),(a),(a)
ENERGY ECONOMICS,1873-6181,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENERGY ECONOMICS,0140-9883,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENERGY POLICY,0301-4215,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENERGY SYSTEMS,1868-3975,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENERGY SYSTEMS,1868-3967,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENTERPRISE & SOCIETY,1467-2235,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
ENTERPRISE & SOCIETY,1467-2227,print,A,A,A,A,A,A,A,A,A,A,A,,,,
ENTERPRISE INFORMATION SYSTEMS,1751-7583,on-line,,,,,,A,A,A,A,A,,A,A,A,A
ENTERPRISE INFORMATION SYSTEMS,1751-7575,print,,,,,,A,A,A,A,A,,A,A,A,A
ENTREPRENEURSHIP & REGIONAL DEVELOPMENT,1464-5114,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,0898-5626,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENTREPRENEURSHIP THEORY AND PRACTICE,1042-2587,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENVIRONMENT AND BEHAVIOR,0013-9165,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ENVIRONMENT AND DEVELOPMENT ECONOMICS,1469-4395,on-line,A,A,A,A,A,,,,,,A,,,,
ENVIRONMENT AND DEVELOPMENT ECONOMICS,1355-770X,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
ENVIRONMENT AND PLANNING A,0308-518X,.,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,0265-8135,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ENVIRONMENT AND PLANNING D: SOCIETY AND SPACE,0263-7758,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENVIRONMENT AND PLANNING. A.,1472-3409,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
"ENVIRONMENT AND PLANNING. C, GOVERNMENT & POLICY",0263-774X,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ENVIRONMENTAL & RESOURCE ECONOMICS,0924-6460,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
ENVIRONMENTAL AND ECOLOGICAL STATISTICS,1352-8505,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,0893-6692,.,,,,,,,,,,,,(a),(a),(a),(a)
ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,0195-9255,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENVIRONMENTAL MANAGEMENT,0364-152X,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ENVIRONMENTAL MODELLING & SOFTWARE,1364-8152,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ENVIRONMENTAL POLLUTION,0269-7491,.,,,,,,,,,,,,(a),(a),(a),(a)
ENVIRONMENTAL RESEARCH LETTERS,1748-9326,.,,,,,,,,,,,,(a),(a),(a),(a)
ENVIRONMENTAL SCIENCE & POLICY,1462-9011,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ENVIRONMENTAL SCIENCE & TECHNOLOGY,1520-5851,on-line,,,,,,A,A,A,A,A,,,,,
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,print,,,,,,A,A,A,A,A,,(a),(a),(a),(a)
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH INTERNATIONAL,0944-1344,.,,,,,,(a),(a),(a),(a),(a),,,,,
ENVIRONMETRICS,1180-4009,print,,,,,,,,,,,,A,A,A,(a)
ENVIRONMETRICS,1099-095X,on-line,,,,,,,,,,,,A,A,A,
EPIDEMIOLOGY,1044-3983,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EPIDEMIOLOGY AND INFECTION,0950-2688,.,,,,,,,,,,,,(a),(a),(a),(a)
EUROPEAN ACCOUNTING REVIEW,1468-4497,on-line,,,,,,A,A,A,A,A,A,,,,
EUROPEAN ACCOUNTING REVIEW,0963-8180,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
EUROPEAN ECONOMIC REVIEW,0014-2921,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN FINANCIAL MANAGEMENT,1468-036X,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN FINANCIAL MANAGEMENT,1354-7798,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN HEART JOURNAL,0195-668X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF APPLIED MATHEMATICS,0956-7925,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF CANCER,0959-8049,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF EPIDEMIOLOGY,0393-2990,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF FOREST RESEARCH,1612-4669,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF HEALTH ECONOMICS,1439-6637,on-line,A,A,A,A,A,,,,,,A,,,,
EUROPEAN JOURNAL OF HUMAN GENETICS,1018-4813,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,0959-6801,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,1476-9344,on-line,,,,,,A,A,A,A,A,,(a),(a),(a),(a)
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,0960-085X,print,(a),(a),(a),(a),(a),A,A,A,A,A,(a),(a),(a),(a),(a)
EUROPEAN JOURNAL OF MARKETING,0309-0566,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,0377-2217,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,0928-0987,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN JOURNAL OF POLITICAL ECONOMY,0176-2680,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN JOURNAL OF POPULATION,1572-9885,on-line,,,,,,,,,,,,A,A,A,
EUROPEAN JOURNAL OF POPULATION,0168-6577,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,(a)
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,1469-5936,on-line,,,,,,,,,,,A,,,,
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,0967-2567,print,,,,,,,,,,,A,,,,
EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY,1359-432X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN MANAGEMENT JOURNAL,0263-2373,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,,,,
EUROPEAN MANAGEMENT REVIEW,1740-4762,on-line,,,,,,A,A,A,A,A,A,,,,
EUROPEAN MANAGEMENT REVIEW,1740-4754,print,,,,,,A,A,A,A,A,A,,,,
"EUROPEAN PHYSICAL JOURNAL. B, CONDENSED MATTER AND COMPLEX SYSTEMS",1434-6036,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
EUROPEAN RESPIRATORY JOURNAL,1399-3003,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN RESPIRATORY JOURNAL,0903-1936,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,1464-3618,on-line,A,A,A,A,A,,,,,,A,,,,
EUROPEAN REVIEW OF AGRICULTURAL ECONOMICS,0165-1587,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
EUROPEAN REVIEW OF ECONOMIC HISTORY,1474-0044,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN REVIEW OF ECONOMIC HISTORY,1361-4916,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EUROPEAN SOCIOLOGICAL REVIEW,0266-7215,.,,,,,,,,,,,,(a),(a),(a),(a)
EUROPEAN UNION POLITICS,1465-1165,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,(a)
EUROPEAN UROLOGY,0302-2838,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EUROPHYSICS LETTERS,0295-5075,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
EVALUATION REVIEW,0193-841X,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
EXPERIMENTAL ECONOMICS,1573-6938,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EXPERIMENTAL ECONOMICS,1386-4157,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EXPERIMENTAL GERONTOLOGY,1873-6815,.,,,,,,,,,,,,(a),(a),(a),(a)
EXPERIMENTAL GERONTOLOGY,0531-5565,.,,,,,,,,,,,,(a),(a),(a),(a)
EXPERT SYSTEMS WITH APPLICATIONS,0957-4174,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
EXTREMES,1386-1999,print,,,,,,,,,,,,A,A,A,A
FAMILY BUSINESS REVIEW,0894-4865,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FEMINIST ECONOMICS,1466-4372,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
FEMINIST ECONOMICS,1354-5701,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
FERTILITY AND STERILITY,0015-0282,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
FINANCE AND STOCHASTICS,1432-1122,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FINANCE AND STOCHASTICS,0949-2984,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FINANCIAL HISTORY REVIEW,1474-0052,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FINANCIAL HISTORY REVIEW,0968-5650,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FINANCIAL MANAGEMENT,0046-3892,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FISCAL STUDIES,1475-5890,on-line,A,A,A,A,A,,,,,,A,,,,
FISCAL STUDIES,0143-5671,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
FIXED POINT THEORY AND APPLICATIONS,1687-1820,.,,,,,,,,,,,,(a),(a),(a),(a)
FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,1936-6590,on-line,,,,,,,,,,,,A,A,A,A
FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,1936-6582,print,,,,,,,,,,,,A,A,A,A
FOOD AND CHEMICAL TOXICOLOGY,0278-6915,.,,,,,,(a),(a),(a),(a),(a),,,,,
FOOD CHEMISTRY,0308-8146,print,,,,,,A,A,A,A,A,,(a),(a),(a),(a)
FOOD CONTROL,0956-7135,.,,,,,,A,A,A,A,A,A,(a),(a),(a),(a)
FOOD POLICY,0306-9192,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,A,A,A,(a)
FOOD QUALITY AND PREFERENCE,0950-3293,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
FOOD RESEARCH INTERNATIONAL,0963-9969,.,,,,,,A,A,A,A,A,A,,,,
FORENSIC SCIENCE INTERNATIONAL. GENETICS,1878-0326,on-line,,,,,,,,,,,,A,A,A,
FORENSIC SCIENCE INTERNATIONAL: GENETICS,1872-4973,.,,,,,,,,,,,,A,A,A,
FOREST ECOLOGY AND MANAGEMENT,0378-1127,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
FOREST POLICY AND ECONOMICS,1389-9341,print,A,A,A,A,A,,,,,,A,,,,
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1615-3383,on-line,,,,,,,,,,,,A,A,A,A
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,1615-3375,print,,,,,,,,,,,,A,A,A,A
FREE RADICAL BIOLOGY & MEDICINE,0891-5849,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
FUNCTIONAL PLANT BIOLOGY,1445-4408,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
FUTURES,0016-3287,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
FUZZY OPTIMIZATION AND DECISION MAKING,1573-2908,on-line,,,,,,,,,,,,,,,A
FUZZY OPTIMIZATION AND DECISION MAKING,1568-4539,print,,,,,,,,,,,,,,,A
FUZZY SETS AND SYSTEMS,0165-0114,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A
GAMES AND ECONOMIC BEHAVIOR,1090-2473,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GAMES AND ECONOMIC BEHAVIOR,0899-8256,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GASTROINTESTINAL ENDOSCOPY,0016-5107,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
"GENDER, WORK AND ORGANIZATION",1468-0432,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
"GENDER, WORK AND ORGANIZATION",0968-6673,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GENOME RESEARCH,1088-9051,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
GEOGRAPHICAL ANALYSIS,1538-4632,on-line,,,,,,,,,,,,A,A,A,
GEOGRAPHICAL ANALYSIS,0016-7363,.,,,,,,,,,,,,A,A,A,
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,0016-7606,.,,,,,,,,,,,,(a),(a),(a),(a)
GEOPHYSICAL RESEARCH LETTERS,1944-8007,.,,,,,,,,,,,,(a),(a),(a),(a)
GEOPHYSICAL RESEARCH LETTERS,0094-8276,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
GERMAN ECONOMIC REVIEW,1468-0475,on-line,A,A,A,A,A,,,,,,A,,,,
GERMAN ECONOMIC REVIEW,1465-6485,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,0959-3780,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GOVERNANCE,1468-0491,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GOVERNANCE,0952-1895,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GOVERNMENT INFORMATION QUARTERLY,0740-624X,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
GROUP & ORGANIZATION MANAGEMENT,1059-6011,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,(a)
GROUP DECISION AND NEGOTIATION,1572-9907,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GROUP DECISION AND NEGOTIATION,0926-2644,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
GROWTH AND CHANGE,1468-2257,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
GROWTH AND CHANGE,0017-4815,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
GUT,0017-5749,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
HAEMATOLOGICA,0390-6078,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
HARVARD BUSINESS REVIEW,0017-8012,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
HEALTH AFFAIR,0278-2715,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
HEALTH CARE MANAGEMENT REVIEW,1550-5030,on-line,,,,,,A,A,A,A,A,A,,,,
HEALTH CARE MANAGEMENT REVIEW,0361-6274,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
HEALTH CARE MANAGEMENT SCIENCE,1572-9389,on-line,,,,,,A,A,A,A,A,,,,,
HEALTH CARE MANAGEMENT SCIENCE,1386-9620,print,,,,,,A,A,A,A,A,,,,,
HEALTH ECONOMICS,1099-1050,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
HEALTH ECONOMICS,1057-9230,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,(a)
HEALTH POLICY,0168-8510,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
HEALTH POLICY AND PLANNING,1460-2237,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
HEALTH POLICY AND PLANNING,0268-1080,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
