TITOLO,ISSN
900,2036-8836
"ANNALI DEL DIPARTIMENTO DI METODI E MODELLI PER L'ECONOMIA, IL TERRITORIO E LA FINANZA",2385-0825
1989. RIVISTA DI DIRITTO PUBBLICO E SCIENZE POLITICHE,1720-4240
1989. RIVISTA DI SCIENZE POLITICHE,1720-4232
20 CENTURY BRITISH HISTORY,0955-2359
A CONTRARIO,1660-7880
A SUD D'EUROPA,2036-4865
A TRABE DE OURO,1130-2674
A. T. RIVISTA ITALIANA DI ANALISI TRANSAZIONALE E METODOLOGIE PSICOTERAPEUTICHE,1129-275X
"A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICOE DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA",1724-6172
"A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICOE DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA. QUADERNI",1128-7217
AA,1827-854X
AB IMPERIO. STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE,2166-4072
ABITARE LA TERRA,1592-8608
ABRUZZO CONTEMPORANEO,1127-5995
ACADEMIC JOURNAL OF INTERDISCIPLINARY STUDIES,2281-3993
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1537-260X
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1944-9585
ACCADEMIA,1296-7645
ACCADEMIE E BIBLIOTECHE D'ITALIA,0001-4451
ACCOUNTABILITY IN RESEARCH,0898-9621
ACCOUNTING HISTORY,1032-3732
ACCOUNTING HISTORY,1749-3374
ACCOUNTING HISTORY REVIEW,2155-2851
ACCOUNTING HISTORY REVIEW,2155-286X
ACIS INTERNATIONAL JOURNAL OF COMPUTER AND INFORMATION SCIENCE,1525-9293
ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,1529-3785
ACME,0001-494X
ACME,1492-9732
"ÁCOMA",1122-6218
ACTA ANALYTICA,0353-5150
ACTA ASTRONAUTICA,0094-5765
ACTA BIOETHICA,0717-5906
ACTA BIO-MEDICA DE L'ATENEO PARMENSE,0392-4203
ACTA BIOTHEORETICA,0001-5342
ACTA BIOTHEORETICA,1572-8358
ACTA BOTANICA CROATICA,0365-0588
ACTA CONCORDIUM,.
ACTA ERUDITORUM,2307-6437
ACTA FABULA,2115-8037
ACTA GERMANICA,0065-1273
ACTA HERPETOLOGICA,1827-9635
ACTA HISTORICA ET ARCHAEOLOGICA MEDIAEVALIA,0212-2960
ACTA HISTORICA LEOPOLDINA,0001-5857
ACTA HISTRIAE,1318-0185
ACTA LINGUISTICA,1313-2296
ACTA LINGUISTICA,1313-2490
ACTA MEDICA MEDITERRANEA,0393-6384
ACTA MEDICO-HISTORICA ADRIATICA,1334-4366
ACTA MUSICAE BYZANTINAE,1454-5357
ACTA NEUROLOGICA,0001-6276
ACTA NEUROLOGICA SCANDINAVICA,0001-6314
ACTA NEUROPSYCHIATRICA,0924-2708
ACTA OECOLOGICA,1146-609X
ACTA ORIENTALIA,0001-6438
ACTA ORIENTALIA ACADEMIAE SCIENTIARUM HUNGARICAE,0001-6446
ACTA PAEDIATRICA,0803-5253
ACTA PAEDIATRICA,1651-2227
ACTA PATRISTICA ET BYZANTINA,1022-6486
ACTA PHILOSOPHICA,1121-2179
ACTA PHILOSOPHICA,1825-6562
ACTA PHONIATRICA LATINA,0392-3088
ACTA PHYSIOLOGICA,1748-1708
ACTA PHYSIOLOGICA,1748-1716
ACTA POLONIAE HISTORICA,0001-6829
ACTA POLYTECHNICA,1210-2709
ACTA PSYCHOLOGICA,0001-6918
ACTA RADIOLOGICA,0284-1851
ACTA SCIENTIARUM MATHEMATICARUM,0001-6969
ACTA TURCICA,1308-8351
ACTA UNIVERSITATIS APULENSIS. MATHEMATICS-INFORMATICS,1582-5329
ACTA UNIVERSITATIS CAROLINAE. PHILOSOPHICA ET HISTORICA,0567-8293
ACTA UNIVERSITATIS WRATISLAVIENSIS. CLASSICA WRATISLAVIENSIA,0578-4387
ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,0335-5322
ACTES DU COLLÈGE D'HISTOIRE MAÇONNIQUE DE L'AUNIS ET DE LA SAINTONGE,1634-6653
ACTIVE LEARNING IN HIGHER EDUCATION,1469-7874
ACTIVE LEARNING IN HIGHER EDUCATION,1741-2625
ACTUALITÉS EN ANALYSE TRANSACTIONNELLE,1377-8935
ACTUEL MARX,0994-4524
ACTUEL MARX EN LIGNE,.
ACTUM LUCE,0391-9994
