TITOLO,ISSN,NOTE
2G,1136-9647,.
ABITARE,0001-3218,.
ABITARE LA TERRA,1592-8608,.
ADVANCED MATERIALS RESEARCH,1022-6680,.
ADVANCED MATERIALS RESEARCH,1662-8985,.
AIDEA,0019-1299,.
AION,1720-1721,.
ALMANACCO DI CASABELLA,.,In Classe A fino al 31.12.2017 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
AMERICAN JOURNAL OF ARCHAEOLOGY,0002-9114,.
ANANKE,1129-8219,.
ANFIONE E ZETO,0394-8021,.
ANFIONE E ZETO,1724-0123,.
ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X,.
ANNALI DI ARCHITETTURA,1124-7169,.
ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,1543-5938,.
ANNUARIO DELLA SCUOLA ARCHEOLOGICA DI ATENE E DELLE MISSIONI ITALIANE IN ORIENTE,0067-0081,.
APOLLO,0003-6536,.
APPLIED ERGONOMICS,0003-6870,.
APPLIED GEOGRAPHY,0143-6228,.
ARCH +,0587-3452,.
ARCHAEOMETRY,0003-813X,.
ARCHEOLOGIA DELL'ARCHITETTURA,1126-6236,.
ARCHEOLOGIA E CALCOLATORI,1120-6861,.
ARCHI,1422-5417,.
ARCHITECTURA,0044-863X,.
ARCHITECTURAL DESIGN,0003-8504,.
ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT,1745-2007,.
ARCHITECTURAL HISTORY,0066-622X,.
ARCHITECTURAL SCIENCE REVIEW,0003-8628,.
ARCHITECTURAL THEORY REVIEW,1326-4826,.
ARCHIVIO DI STUDI URBANI E REGIONALI,0004-0177,.
ARCHIVIO STORICO ITALIANO,0391-7770,.
AREA,0394-0055,.
ARQUITECTURA VIVA,0214-1256,.
ART HISTORY,0141-6790,.
ARTE MEDIEVALE,0393-7267,.
ARTFORUM INTERNATIONAL,1086-7058,.
ARTIBUS ET HISTORIAE,0391-9064,.
ATENEO VENETO,0004-6558,.
ATTI DELL'ACCADEMIA NAZIONALE DI SAN LUCA,2239-8341,.
AUTOMATION IN CONSTRUCTION,0926-5805,.
BAUWELT,0005-6855,.
BOLLETTINO D'ARTE,0391-9854,.
BOLLETTINO D'ARTE,0394-4573,.
BOLLETTINO D'ARTE - MINISTERO PER I BENI CULTURALI E AMBIENTALI. SUPPLEMENTO,0394-4611,.
BRUNIANA & CAMPANELLIANA,1125-3819,.
BRUNIANA & CAMPANELLIANA,1724-0441,.
BUILDING AND ENVIRONMENT,0360-1323,.
BUILDING RESEARCH AND INFORMATION,0961-3218,.
BUILDING SIMULATION,1996-3599,.
BUILT ENVIRONMENT,0263-7960,.
BUSINESS STRATEGY AND THE ENVIRONMENT,0964-4733,.
CASABELLA,0008-7181,.
CEMENT & CONCRETE COMPOSITES,0958-9465,.
CEMENT AND CONCRETE RESEARCH,0008-8846,.
CENTER ... RECORD OF ACTIVITIES AND RESEARCH REPORTS,1557-198X,.
CITIES,0264-2751,.
CITTA' E STORIA,1828-6364,.
CITY,1470-3629,.
CONSERVATION & SOCIETY,0972-4923,.
CONSERVATION SCIENCE IN CULTURAL HERITAGE,1974-4951,.
CONSTRUCTION AND BUILDING MATERIALS,0950-0618,.
CONSTRUCTION INNOVATION,1471-4175,.
CONSTRUCTION MANAGEMENT AND ECONOMICS,0144-6193,.
CONVERGENCIAS,1646-9054,.
CORPORATE SOCIAL RESPONSIBILITY & ENVIRONMENTAL MANAGEMENT,1535-3958,.
CRIOS,2279-8986,.
CULTURAL GEOGRAPHIES,1474-4740,.
DESIGN AND CULTURE,1754-7075,.
DESIGN STUDIES,0142-694X,.
DIID. DISEGNO INDUSTRIALE INDUSTRIAL DESIGN,1594-8528,.
DISEGNARE IDEE IMMAGINI,1123-9247,.
DOMUS,0012-5377,.
ECOLOGICAL ENGINEERING,0925-8574,.
ECOLOGY & SOCIETY,1708-3087,.
EGA. REVISTA DE EXPRESIÓN GRÁFICA ARQUITECTÓNICA,1133-6137,.
ELECTRONIC JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION,1403-6835,.
ENERGY AND BUILDINGS,0378-7788,.
ENERGY POLICY,0301-4215,.
ENVIRONMENT AND BEHAVIOR,0013-9165,.
ENVIRONMENT AND PLANNING A,0308-518X,.
ENVIRONMENT AND PLANNING C-GOVERNMENT AND POLICY,0263-774X,.
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,0263-7758,.
ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,0195-9255,.
ENVIRONMENTAL MODELLING & SOFTWARE,1364-8152,.
ENVIRONMENTAL SCIENCE & TECHNOLOGY,0013-936X,.
EUROPEAN JOURNAL OF HOUSING POLICY,1461-6718,.
EUROPEAN PLANNING STUDIES,0965-4313,.
EUROPEAN URBAN AND REGIONAL STUDIES,0969-7764,.
FACILITIES,0263-2772,.
FIRENZE ARCHITETTURA,1826-0772,.
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,0959-3780,.
HABITAT INTERNATIONAL,0197-3975,.
HARVARD DESIGN MAGAZINE,1093-4421,.
HEALTH & PLACE,1353-8292,.
HOME CULTURES,1740-6315,.
HUNCH,1567-9837,.
I TATTI STUDIES,0393-5949,.
IL DISEGNO DI ARCHITETTURA,1121-8770,.
INDOOR AIR,0905-6947,.
INFORMES DE LA CONSTRUCCION,0020-0883,.
"INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY, REMOTE SENSING AND SPATIAL INFORMATION SCIENCES",1682-1750,.
INTERNATIONAL JOURNAL FOR HOUSING SCIENCE AND ITS APPLICATIONS,0146-6518,.
INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,1729-8806,.
INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE,1558-3058,.
INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE,1558-3066,.
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,1476-8062,.
INTERNATIONAL JOURNAL OF CANADIAN STUDIES,1180-3991,.
INTERNATIONAL JOURNAL OF DESIGN SCIENCES & TECHNOLOGY,1630-7267,.
INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1470-3610,.
"INTERNATIONAL JOURNAL OF MATHEMATICAL, PHYSICAL AND ENGINEERING SCIENCES",2070-3880,.
INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,0263-7863,.
INTERNATIONAL JOURNAL OF SPACE STRUCTURES,0956-0599,.
INTERNATIONAL JOURNAL OF SUSTAINABLE BUILDING TECHNOLOGY AND URBAN DEVELOPMENT,2093-761X,.
INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,0309-1317,.
INTERNATIONAL PLANNING STUDIES,1356-3475,.
JA,1342-6478,.
JOURNAL OF ARCHAEOLOGICAL SCIENCE,0305-4403,.
JOURNAL OF ARCHAEOLOGICAL SCIENCE,1095-9238,.
JOURNAL OF ARCHITECTURAL CONSERVATION,1355-6207,.
JOURNAL OF ARCHITECTURAL EDUCATION,1046-4883,.
JOURNAL OF ARCHITECTURAL ENGINEERING,1076-0431,.
JOURNAL OF ARCHITECTURE,1466-4410,.
JOURNAL OF BUILDING PERFORMANCE SIMULATION,1940-1493,.
JOURNAL OF BUILDING PHYSICS,1744-2591,.
JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT,1392-3730,.
JOURNAL OF CLEANER PRODUCTION,0959-6526,.
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT,0733-9364,.
JOURNAL OF CULTURAL HERITAGE,1296-2074,.
JOURNAL OF ENGINEERING AND TECHNOLOGY MANAGEMENT,0923-4748,.
JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,0095-0696,.
JOURNAL OF ENVIRONMENTAL MANAGEMENT,1095-8630,.
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,0272-4944,.
JOURNAL OF GREEN BUILDING,1552-6100,.
JOURNAL OF INTERIOR DESIGN,1071-7641,.
JOURNAL OF PLACE MANAGEMENT AND DEVELOPMENT,1753-8335,.
JOURNAL OF PLANNING EDUCATION AND RESEARCH,0739-456X,.
JOURNAL OF PLANNING HISTORY,1538-5132,.
JOURNAL OF PLANNING LITERATURE,0885-4122,.
JOURNAL OF ROMAN ARCHAEOLOGY,1047-7594,.
JOURNAL OF THE AMERICAN PLANNING ASSOCIATION,0194-4363,.
JOURNAL OF THE SOCIETY OF ARCHITECTURAL HISTORIANS,0037-9808,.
JOURNAL OF THE WARBURG AND COURTAULD INSTITUTES,0075-4390,.
JOURNAL OF TRANSPORT AND LAND USE,1938-7849,.
JOURNAL OF TRANSPORT GEOGRAPHY,0966-6923,.
KENCHIKU TO TOSHI,0389-9160,.
LAND USE POLICY,0264-8377,.
LANDSCAPE AND URBAN PLANNING,0169-2046,.
L'ARCHITECTURE D'AUJOURD'HUI,0003-8695,.
LE MONITEUR ARCHITECTURE,0998-4194,.
LE VISITEUR,1265-7034,.
LIGHTING RESEARCH & TECHNOLOGY,1477-1535,.
LINEA GRAFICA,0024-3744,.
LOG,1547-4690,.
LOGGIA,1136-758X,.
LOTUS,0002-0664,.
LOTUS INTERNATIONAL,1124-9064,.
MARMORA,1824-6214,.
MARMORA,1826-8072,.
MATERIALI E STRUTTURE,1121-2373,.
MATERIALS AND STRUCTURES,1359-5997,.
MATERIALS AND STRUCTURES,1871-6873,.
MATERIALS EVALUATION,0025-5327,.
MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ANTIQUITÉ,0223-5102,.
MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1123-9891,.
MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. MOYEN AGE,1123-9883,.
METAMORFOSI,1590-1394,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
MITTEILUNGEN DES DEUTSCHEN ARCHÄOLOGISCHEN INSTITUTS. ABTEILUNG KAIRO,0342-1279,.
MITTEILUNGEN DES KUNSTHISTORISCHES INSTITUTES FLORENZ,0342-1201,.
MODO,1128-6636,.
MUQARNAS,0732-2992,.
NEXUS NETWORK JOURNAL,1522-4600,.
NEXUS NETWORK JOURNAL,1590-5896,.
NUOVI STUDI,1125-3894,.
OASE,0169-6238,.
OP. CIT.,0030-3305,.
OPD RESTAURO,1120-2513,.
PALLADIO,0031-0379,.
PARAGONE. ARTE,1120-4737,.
PARSONS JOURNAL FOR INFORMATION MAPPING,2372-1197,.
PEGASUS,1436-3461,.
PERSPECTA,0079-0958,.
PLANNING PERSPECTIVES,1466-4518,.
PLANNING PRACTICE AND RESEARCH,0269-7459,.
PLANNING THEORY,1473-0952,.
PROGETTO GRAFICO,1824-1301,.
PROGRESS IN PLANNING,0305-9006,.
QA,1971-4017,.
QA. LA QUESTIONE AGRARIA,1593-8441,.
QUADERNI DELL’ISTITUTO DI STORIA DELL’ARCHITETTURA,0485-4152,.
QUADERNI STORICI,0301-6307,.
QUADERNS D'ARQUITECTURA I URBANISME,1886-1989,.
RASSEGNA,0393-0203,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
RASSEGNA DI ARCHITETTURA E URBANISTICA,0392-8608,.
RENAISSANCE STUDIES,0269-1213,.
RENEWABLE ENERGY,0960-1481,.
RES,0277-1322,.
RESTAURO,0391-4275,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
RESTAURO,0933-4017,.
RESTAURO ARCHEOLOGICO,1724-9686,.
RICERCHE DI STORIA DELL'ARTE,0392-7202,.
ROMA MODERNA E CONTEMPORANEA,1122-0244,.
ROMISCHES JAHRBUCH DER BIBLIOTHECA HERTZIANA,0940-7855,.
RR. ROMA NEL RINASCIMENTO,2036-2463,.
SOCIO-ECONOMIC PLANNING SCIENCES,0038-0121,.
SOLAR ENERGY,0038-092X,.
SOLAR ENERGY MATERIALS AND SOLAR CELLS,0927-0248,.
STORIA URBANA,0391-2248,.
STUDI SUL SETTECENTO ROMANO,1124-3910,.
STUDIES IN CONSERVATION,0039-3630,.
STUDIES IN THE HISTORY OF GARDENS & DESIGNED LANDSCAPES,1460-1176,.
SUSTAINABILITY,2071-1050,.
SUSTAINABLE CITIES AND SOCIETY,2210-6707,.
SVILUPPO & ORGANIZZAZIONE,0391-7045,.
TECHNE,2239-0243,.
TECHNE,2240-7391,.
TECHNOVATION,0166-4972,.
TEMA. TEMPO MATERIA ARCHITETTURA,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
TERRITORIO,1825-8689,.
THE ARCHITECTURAL REVIEW,0003-861X,.
THE BURLINGTON MAGAZINE,0007-6287,.
THE INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,0948-3349,.
THE JOURNAL OF AESTHETICS AND ART CRITICISM,0021-8529,.
THE JOURNAL OF ENVIRONMENT & DEVELOPMENT,1070-4965,.
THE PHOTOGRAMMETRIC RECORD,0031-868X,.
THE STRUCTURAL DESIGN OF TALL AND SPECIAL BUILDINGS,1541-7794,.
THEORETICAL ISSUES IN ERGONOMICS SCIENCE,1464-536X,.
TOPOS,0942-752X,.
TÓPOS E PROGETTO,.,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,0886-7798,.
URBAN DESIGN INTERNATIONAL,1357-5317,.
URBAN HISTORY,0963-9268,.
URBAN HISTORY,1469-8706,.
URBAN STUDIES,0042-0980,.
URBANISTICA,0042-1022,.
VALORI E VALUTAZIONI,2036-2404,.
WORK,1051-9815,.
WORK,1875-9270,.
WORLD HEALTH DESIGN,1654-9694,.
WORLD HOSPITALS AND HEALTH SERVICES,1029-0540,.
